Parameter,Value
Equilibrium_Price,19.501448493213292
Equilibrium_Quantity,979.6829699205525
Consumer_Surplus,22699.701735882296
Producer_Surplus,6392.10453027526
Total_Surplus,29091.806266157557
Consumer_Gini,0.21827529560865155
Producer_Gini,0.3580706678197674
Num_Rounds,20
Equilibrium_Reached,0
