ID,Fixed_Cost,MC_a,MC_b,Max_Capacity,Supply,Production,Revenue,Cost,Profit,Producer_Surplus
0,555.3009963309352,8.819983563017917,0.5028744822934818,138.35355587821897,21.66657895879138,17.42171264720425,339.74863185301626,785.2754591960828,-445.52682734306654,109.77416898786862
1,528.6648602029856,10.139309644468446,0.3640143859020081,122.38760698081663,26.307321815848336,21.153251838462065,412.51905119173733,824.5851806670203,-412.06612947528293,116.59873072770256
2,596.8226271711613,16.48976416991638,0.46922217650469994,106.57450982991817,6.8747583375192125,5.527871497527472,107.80150128613383,695.1450207833265,-587.3435194971926,9.479107673968741
3,537.4075525566133,14.732359839290423,0.4904704467613048,108.37064577311017,10.160027854085376,8.169498567268992,159.31705552497604,674.1307173068273,-514.8136617818512,22.59389077476206
4,591.1844764574809,10.559827369469074,0.4553566385449472,105.82269978694923,20.106714376182666,16.16745314557981,315.2887547849639,821.4220390629501,-506.13328427798626,85.05119217949459
5,661.0447624789658,6.920454101766819,0.5132969674146876,78.9963755518248,24.927283717784224,20.04358763017173,390.878991789001,902.862839760634,-511.98384797163294,149.06091450733285
6,679.2569943387264,5.430439285648676,0.44410781527284116,111.31635625193563,32.165869329649446,25.864006199340146,504.3855847245811,968.2521643325124,-463.86657960793127,215.390414730795
7,734.828604385151,9.802749216781036,0.44448004733068014,156.4347120832177,22.302022515388877,17.93266156385669,349.712875833777,982.0860132491069,-632.3731374153299,102.45546696982103
8,282.7979149375634,3.403582130139754,0.5440014450053332,84.93837326942166,29.985161362377095,24.110537520895534,470.19040560743076,522.9790309122178,-52.78862530478705,230.00928963277633
9,346.815077430393,12.12506934189806,0.5243800713771198,83.07764107789815,14.475157071013191,11.63921759378694,226.98160240653797,523.4606454218814,-296.47904301534345,50.33603441504951
10,307.95434019936584,12.617371984840434,0.5650201177958661,97.02472408661852,12.562705347272287,10.101449012690965,196.99288762781313,464.23520076507936,-267.24231313726625,40.71202706209965
11,776.9955494071498,6.789745701021542,0.34744748290752614,79.24275790356266,37.20219076219259,29.913623121494858,583.3589805492262,1135.5537639829233,-552.1947834336971,224.80076597345277
12,493.16209754667534,10.730018347968075,0.475876394214367,110.5616618954289,18.882077365609373,15.182744201176654,296.0855040248793,710.9217165712301,-414.83621254635085,78.32588500032449
13,312.2690863714334,14.331293812219778,0.4917848821607431,133.51887494764384,10.94840370878119,8.803417637955114,171.6793956308271,457.4901551375703,-285.81075950674324,26.45832686469015
14,551.4088019566557,11.370259657461352,0.5569767280232204,113.43125680051945,14.983199768773302,12.0477257348147,234.94810287784912,728.8165160701765,-493.86841319232735,57.54038876432827
15,596.4084139801316,13.987457590397295,0.519652116970147,121.27011272765537,11.022942969984573,8.863353338560644,172.84822860909048,740.7958766599326,-567.9476480508421,28.460765929289465
16,486.53964585691597,14.320351646348419,0.432360769794073,154.02821298732448,12.478471615757861,10.033718160098262,195.6720378945751,651.9900865947153,-456.3180487001402,30.221597156775687
17,493.97630740334847,5.707674693645855,0.5128104414910789,79.56845027575358,27.315899624849603,21.964231403080284,428.3343274001881,743.0379148123413,-314.70358741215324,179.2727199911953
18,626.0965323483086,8.042128062092827,0.45538165667852204,43.31377807163407,25.634377245324657,20.61214902027106,401.96676245325295,888.5989562093353,-486.6321937560823,139.46433859222628
19,432.1540521126385,2.7283620201131296,0.34160971765142767,122.81243968432892,49.72689692982116,39.984517666411215,779.7560117974953,814.3225499455033,-34.56653814800802,397.5875139646304
20,617.8700237976249,11.276372685354895,0.4033023856870787,98.5686593157406,20.925193735858585,16.82557791179519,328.12314101542114,864.6889782036815,-536.5658371882603,81.3041866093645
21,499.45961913641474,6.524905932422372,0.650339830176715,126.32086871727014,20.282699437283966,16.308959618315484,318.0483359744749,692.363444129817,-374.3151081553421,125.14451098107264
22,466.8553739255504,10.080657516983592,0.5208382807947552,38.747953947271284,18.498824065514825,14.874577006067582,290.07579734216176,674.4194172097414,-384.3436198675796,82.51175405797076
23,462.92339262191047,7.9540472560066044,0.3998379990105084,91.56699121342135,29.41567838247225,23.652626336474324,461.26047422997425,762.9015312913438,-301.6410570613695,161.2823355605409
24,769.6529790274284,11.922528583801029,0.4428821010217203,117.17748344068475,17.59616078006222,14.148761435171666,275.92134237076283,982.671710923818,-706.7503685530551,62.902610474373176
25,709.9033154879003,12.773901048738306,0.5059630369920174,80.59189666883279,13.719682434751041,11.031753810499183,215.1351787252593,881.609594676033,-666.4744159507737,43.42889953712657
26,604.7334970420385,11.18045615626525,0.5895193220027732,119.05515405045908,14.478061643050909,11.641553108752198,227.02714833133808,774.8388978813733,-547.8117495500353,56.92174749200325
27,657.4329072979003,8.394294365318295,0.6317394065634325,105.92798814077199,17.920773592799332,14.409776852320022,281.01152108421604,843.9805282898192,-562.9690072056031,94.46390009229722
28,811.2891308937899,7.932436545731297,0.6735963803165249,105.93732350387944,17.492844437083765,14.065686592458654,274.3012626045132,989.4976432371735,-715.1963806326603,96.09275026112954
29,402.2872994578328,8.548342497837035,0.46796526918056797,112.7249783920575,23.863332340257475,19.18808315920184,374.1954154126681,652.461925805013,-278.2665103923449,124.02078906548789
30,578.425323205325,8.278899988184262,0.4975645407739017,164.2681107583559,22.98526585921573,18.48204544337481,360.42665726320126,816.4168705586495,-455.99021329544826,122.4351099098767
31,759.1314755151068,11.308971009022097,0.50380034781682,103.60093980154784,16.686336695475017,13.41718799243615,261.65460055825343,956.2133700313004,-694.558769473047,64.57270604205982
