ID,Income,Alpha,Beta,Demand,Consumption,Expenditure,Utility,Consumer_Surplus
0,1149.0142459033698,97.2347139765763,0.5647688538100692,8.79174488989611,8.79174488989611,286.1172778737534,178.19117418905122,-107.86291759112544
1,1456.9089569224075,95.31693250553329,0.4765863043050819,9.49114463306905,9.49114463306905,308.8784422578815,181.11369073690878,-127.69247612001487
2,1473.7638446522174,115.34869458305818,0.4530525614065048,10.778421728661643,10.778421728661643,350.7714024236691,231.84783345218216,-118.8105858229481
3,1162.7680130757894,90.73164614375075,0.4534270246429743,9.504407100113289,9.504407100113289,309.3100540728409,172.4224565792249,-136.81860512429694
4,1072.5886814698101,61.73439510684404,0.3275082167486967,9.228721885619969,9.228721885619969,300.33819420785306,115.65114485802317,-184.64281005300847
5,831.3137412277082,79.74337759331152,0.5314247332595274,8.174576357742627,8.174576357742627,266.03223416280224,141.23434413054878,-124.75315123610915
6,727.5927773436367,71.75392597329417,0.6465648768921555,6.975788273726734,6.975788273726734,227.01904762911374,117.52770870266895,-109.4621323457256
7,932.2671098540393,101.35056409375848,0.3575251813786543,11.401808751439066,11.401808751439066,371.0588197967416,208.7060224327319,-162.2416465671344
8,836.6851826424452,102.21845179419732,0.3849006422577697,11.02985205870467,11.02985205870467,358.9539148268082,207.43117836323967,-151.41786298716872
9,1112.7094055037016,87.9872262016239,0.4708306250206723,9.163615758518617,9.163615758518617,298.2193897961658,164.4895144709378,-133.6677165178465
10,819.4880163311809,137.04556369017877,0.4986502775262066,11.231241948970833,11.231241948970833,365.5079183739846,280.2610570605359,-85.10104821000186
11,682.6867213132299,116.45089824206377,0.37791563500289777,11.915715039548973,11.915715039548973,387.7833119285815,244.2751202736614,-143.36865411050084
12,1062.6590785014266,60.80659752240449,0.3671813951101569,8.620812531583177,8.620812531583177,280.5544798543018,110.37346574020367,-170.1430348886555
13,1059.058370760737,114.76933159990821,0.5171368281189971,10.056079404540446,10.056079404540448,327.26359799362046,223.49313631989216,-103.67268971817265
14,965.3055152835278,93.97792608821422,0.35214780096325726,11.064299843116276,11.064299843116274,360.0749785551197,190.9191060423397,-169.05884729778816
15,784.0467374815873,90.78722458080425,0.6057122226218916,8.167553116309067,8.167553116309067,265.80367080638257,160.74815698808993,-105.00466740365329
