Round,Price,Total_Demand,Total_Supply,Quantity,Consumer_Surplus,Producer_Surplus,Total_Surplus
0,50.0,0,0,0,0,0,0
1,48.74783505522714,9457.460141764122,15777.00189405497,9457.460141764122,-270277.8273226024,263985.28786566877,-6292.53945693362
2,47.581027626880065,9464.960518507905,15421.73370805817,9464.960518507905,-259564.61291905472,253409.83970440365,-6154.773214651068
3,46.49434504514912,9471.910208060568,15078.982856517741,9471.910208060568,-249571.2052410564,243538.266758727,-6032.938482329395
4,45.482703758182765,9478.400277403593,14750.135355010072,9478.400277403593,-240256.65853361704,234319.94479389206,-5936.713739724975
5,44.54145904822481,9483.834284203022,14433.401976283687,9483.834284203022,-231552.72516262886,225713.54148240492,-5839.183680223941
6,43.66581567398431,9488.955452067128,14132.764363228918,9488.955452067128,-223450.10578014725,217689.63692255528,-5760.468857591972
7,42.85164458138657,9492.735857175898,13843.984779226363,9492.735857175898,-215867.01832500118,210204.21027623198,-5662.808048769191
8,42.094914825281535,9495.620618850053,13568.59874188402,9495.620618850053,-208787.5200933641,203227.26676930228,-5560.253324061807
9,41.39144842424946,9498.970860360329,13310.812869085938,9498.970860360329,-202230.51995576438,196736.41814591744,-5494.101809846936
10,40.738230330195876,9501.961684290316,13063.053898337654,9501.961684290316,-196133.20202705532,190701.29553235,-5431.906494705327
11,40.13201591724004,9504.769222466333,12828.055513277439,9504.769222466333,-190472.78711970957,185094.9957936388,-5377.791326070757
12,39.569036380897835,9507.222483964297,12609.846964365835,9507.222483964297,-185207.3070503493,179879.69595399962,-5327.61109634969
13,39.04596456050525,9509.129775217574,12406.160314825122,9509.129775217574,-180298.43478221164,175025.16241475655,-5273.272367455094
14,38.56012328253994,9511.72949795832,12215.164271276391,9511.72949795832,-175769.38478282143,170515.50486872505,-5253.879914096382
15,38.108661198645,9513.353506246756,12036.399483245094,9513.353506246756,-171528.6449584599,166314.87459105204,-5213.770367407851
16,37.689297220732435,9515.282247885038,11868.438134224727,9515.282247885038,-167604.15777507986,162412.81552825746,-5191.342246822402
17,37.29963850876504,9517.032952338115,11711.822769946208,9517.032952338115,-163954.86550519994,158783.55495094188,-5171.31055425806
18,36.93734761510728,9518.33784045167,11566.284399491487,9518.33784045167,-160548.91348564278,155403.8113647451,-5145.1021208976745
19,36.60049350340861,9519.29398139339,11429.766025301371,9519.29398139339,-157371.99995176212,152257.0923941061,-5114.907557656028
20,36.287522579786135,9520.90795073287,11301.426346285914,9520.90795073287,-154446.19804731265,149334.78810842114,-5111.409938891506
21,35.99688491249539,9522.490767005656,11180.669015913465,9522.490767005656,-151731.40828579225,146619.60956548553,-5111.798720306717
22,35.726880855269854,9523.371964767315,11067.872123809462,9523.371964767315,-149187.59253511776,144093.27228692363,-5094.320248194126
23,35.4760470056379,9524.66465947424,10963.083165122838,9524.66465947424,-146840.85593919546,141746.56560210057,-5094.290337094892
24,35.24274929836359,9524.810463952488,10865.734191272646,9524.810463952488,-144620.46563611395,139558.84080973835,-5061.624826375599
25,35.02594115660586,9526.040646349225,10774.925852566737,9526.040646349225,-142595.33384748947,137528.25441815853,-5067.079429330945
26,34.82433358745902,9526.701570617039,10690.387104366284,9526.701570617039,-140694.9555980668,135637.3933077436,-5057.5622903232
27,34.63687937614146,9527.697534093164,10611.775427769497,9527.697534093164,-138941.00957800227,133879.41528063186,-5061.594297370408
28,34.462588831987134,9528.28740244049,10538.010581240384,9528.28740244049,-137298.34798840134,132243.15979951405,-5055.188188887289
29,34.300528108989525,9528.622882107456,10469.014075403356,9528.622882107456,-135763.50418671558,130720.69929877712,-5042.804887938459
30,34.14991758649454,9529.55679458159,10404.858996454503,9529.55679458159,-134358.2645035132,129306.75789934087,-5051.506604172333
31,34.009783432662,9529.670106022866,10345.236715481864,9529.670106022866,-133024.86073553035,127988.98426932133,-5035.876466209025
32,33.879391010726415,9529.88288581976,10289.761721070729,9529.88288581976,-131787.77520046444,126762.7079855846,-5025.067214879848
33,33.757957235177976,9529.608404765228,10238.14319210901,9529.608404765228,-130619.71159875148,125619.48072268032,-5000.23087607116
34,33.64507453958752,9530.63362249365,10190.07112805016,9530.63362249365,-129577.02175894112,124558.8294674138,-5018.192291527317
35,33.54005578604941,9531.204878066448,10145.384185318999,9531.204878066448,-128593.94348299675,123571.01123655234,-5022.932246444412
36,33.44224175566904,9531.146331033719,10103.766106606698,9531.146331033719,-127658.47930019267,122649.75562455945,-5008.723675633228
37,33.351243293936086,9531.594488992096,10064.8255111571,9531.594488992096,-126804.96900836856,121793.32978106313,-5011.6392273054225
38,33.266483680278505,9531.49359671353,10028.598251416372,9531.49359671353,-125992.66658835499,120994.69452361167,-4997.972064743313
39,33.18765480610958,9532.139468811587,9994.85473003126,9532.139468811587,-125261.77008966287,120252.79421484022,-5008.975874822645
40,33.11429143903273,9532.501702678364,9963.472286359089,9532.501702678364,-124573.55472735903,119561.8391368799,-5011.715590479129
41,33.045992775855346,9532.692703366036,9934.199933488324,9532.692703366036,-123927.97542370572,118918.28219790402,-5009.693225801704
42,32.98238279331182,9532.660513926792,9906.850191018188,9532.660513926792,-123319.77966605008,118318.59131682018,-5001.188349229895
43,32.92319596316223,9532.987538048921,9881.377999321287,9532.987538048921,-122765.6198899296,117760.90699764616,-5004.712892283438
44,32.868054252758114,9532.912007659457,9857.677029391454,9532.912007659457,-122236.81455193395,117240.87375232685,-4995.940799607095
45,32.81678653275103,9533.47635149944,9835.595900585178,9533.47635149944,-121765.98347801874,116757.91878817037,-5008.064689848368
46,32.76895955550812,9533.087320647468,9815.066085300461,9533.087320647468,-121296.72314074873,116306.47710530649,-4990.2460354422365
